selling_price,km_driven,brand,car_age,km_per_year,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner,brand_tier_Luxury,brand_tier_Mid-range,brand_tier_Premium
60000,0.0334267448202893,7,1.4025658447878866,-0.5377190561252768,False,False,False,True,True,False,True,False,False,False,False,False,False,False
135000,-0.42758713097034695,7,1.4025658447878866,-0.8722649982000663,False,False,False,True,True,False,True,False,False,False,False,False,False,False
600000,0.7249475585062437,5,0.22641758268964243,0.6074574378999642,True,False,False,False,True,False,True,False,False,False,False,False,True,False
250000,-0.5197899061284742,9,-0.9497306794086018,0.022645396849995635,False,False,False,True,True,False,True,False,False,False,False,False,False,False
450000,1.670026003877048,4,-0.24404172214965525,2.1508137874575772,True,False,False,False,True,False,True,False,True,False,False,False,True,False
140000,1.301214903244539,7,1.4025658447878866,0.3822822845803943,False,False,False,True,True,False,True,False,False,False,False,False,False,False
550000,-1.0038544757086423,5,-0.7145010269889529,-0.8722649982000663,False,False,False,True,True,False,True,False,False,False,False,False,True,False
240000,-0.19708019307502883,12,-0.24404172214965525,-0.06631341047443691,False,False,False,True,True,False,True,False,True,False,False,False,False,False
850000,-1.0038544757086423,5,-0.4792713745693041,-0.9559014837187637,False,False,False,True,True,False,True,False,False,False,False,False,True,False
365000,0.2178322951365438,7,-0.9497306794086018,1.2270107883192378,False,False,False,False,True,False,True,False,False,False,False,False,False,False
260000,-0.7733475378133242,1,-0.4792713745693041,-0.6548101358514531,False,False,False,True,True,False,True,False,False,False,False,False,False,False
250000,0.7249475585062437,12,-0.24404172214965525,1.0285642181339647,False,False,False,True,True,False,True,False,False,False,False,False,False,False
1650000,-1.0038544757086423,13,-1.1849603318282507,-0.6333036110037881,False,False,False,True,False,False,False,False,False,False,False,False,False,True
585000,-1.0269051694981741,7,-0.4792713745693041,-0.9860106185054948,False,False,False,True,False,False,True,False,False,False,False,False,False,False
1195000,-1.4648683514992786,5,-1.4201899842478996,-1.457720396830948,True,False,False,False,False,False,True,False,False,False,False,False,True,False
390000,-0.8194489253923878,1,-0.008812069730006403,-0.8806286467519361,True,False,False,False,True,False,True,False,True,False,False,False,False,False
1964999,-0.9347023943400469,9,-0.24404172214965525,-0.9422155133611586,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1425000,-0.22013088686456064,9,-0.008812069730006403,-0.22826405970609642,True,False,False,False,False,False,False,False,False,False,False,True,False,False
975000,-1.4763936983940444,7,-1.1849603318282507,-1.5150711297580546,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1190000,2.4744952171317083,0,0.4616472351092913,2.0743678673172403,True,False,False,False,False,False,False,False,False,False,False,True,False,False
930000,-1.2458867604987263,4,-1.1849603318282507,-1.084940632804754,False,False,False,True,False,False,True,False,False,False,False,False,True,False
525000,-1.2343614136039605,12,-1.1849603318282507,-1.063434107957089,False,False,False,True,True,False,True,False,False,False,False,False,False,False
1735000,-0.42758713097034695,0,-0.008812069730006403,-0.45408257060657936,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1375000,-0.8010083703607623,9,0.22641758268964243,-0.9257923489320327,True,False,False,False,False,False,False,False,True,False,False,True,False,False
450000,1.4256886497080108,11,0.4616472351092913,1.095820986748481,True,False,False,False,False,False,False,False,True,False,False,False,True,False
900000,-0.42758713097034695,13,-0.7145010269889529,-0.0359001430130925,False,False,False,True,True,False,False,False,False,False,False,False,False,True
1300000,0.26393368271560746,13,-0.4792713745693041,0.7001009295514444,True,False,False,False,True,False,True,False,False,False,False,False,False,True
1400000,-1.3496148825516194,9,-1.4201899842478996,-1.2068109402748557,False,False,False,True,True,False,True,False,False,False,False,True,False,False
850000,1.1629107405073482,9,0.6968768875289402,0.680028173026957,False,False,False,True,False,False,False,False,False,False,False,True,False,False
229999,-0.19708019307502883,5,-0.24404172214965525,-0.06631341047443691,False,False,False,True,True,False,True,True,False,False,False,False,True,False
1550000,0.16712076879957383,9,-0.008812069730006403,0.19326382730813838,True,False,False,False,False,False,False,False,True,False,False,True,False,False
